,epoch,costg,scost,lossg,p1,g_1,g_2,epoch_time,sampling_devg,mseg,avg_diffg,p1_g,best_dev,rationale_mser,p1_r,prec1,prec2
0,1,0.0432,0.0197,0.0235,0.12,0.2545,0.1186,15.5,0.0287,0.0211,0.2266,0.03,0.0287,0.0129,0.03,0.2158,0.2094
1,2,0.0282,0.0057,0.0225,0.03,0.3228,0.1789,6.84,0.0279,0.0204,0.224,0.03,0.0279,0.0128,0.03,0.2518,0.2443
2,3,0.0276,0.0053,0.0223,0.03,0.2822,0.099,6.83,0.0266,0.0209,0.2265,0.02,0.0266,0.0124,0.03,0.3353,0.3229
3,4,0.0266,0.0048,0.0219,0.02,0.1708,0.1572,6.87,0.0255,0.0201,0.224,0.02,0.0255,0.0124,0.03,0.4481,0.4613
4,5,0.0249,0.0045,0.0204,0.03,0.0772,0.0575,6.84,0.0233,0.0186,0.2299,0.03,0.0233,0.0116,0.03,0.8027,0.8059
5,6,0.0229,0.0037,0.0192,0.02,0.0619,0.0808,6.84,0.0225,0.0182,0.2399,0.02,0.0225,0.0113,0.03,0.8419,0.8449
6,7,0.0219,0.0033,0.0185,0.02,0.1064,0.0435,6.86,0.0215,0.0179,0.2337,0.02,0.0215,0.0113,0.02,0.8561,0.8679
7,8,0.0212,0.0028,0.0184,0.02,0.043,0.0275,6.82,0.0208,0.0177,0.2312,0.02,0.0208,0.0113,0.02,0.8304,0.835
8,9,0.0206,0.0023,0.0183,0.01,0.06,0.0327,6.83,0.0206,0.0174,0.236,0.02,0.0206,0.011,0.02,0.8541,0.8565
9,10,0.0202,0.0021,0.0181,0.01,0.0483,0.0463,6.82,0.0202,0.0177,0.2349,0.01,0.0202,0.0115,0.02,0.8745,0.8668
10,11,0.02,0.002,0.0179,0.01,0.0577,0.027,6.83,0.02,0.0179,0.2342,0.01,0.02,0.0116,0.01,0.903,0.8954
11,12,0.0198,0.0019,0.0179,0.01,0.0566,0.0415,6.88,0.0198,0.0178,0.2346,0.01,0.0198,0.0113,0.01,0.9026,0.8939
12,13,0.0197,0.0019,0.0179,0.01,0.0516,0.0286,6.86,0.0197,0.0173,0.235,0.01,0.0197,0.0112,0.01,0.8669,0.8745
13,14,0.0196,0.0016,0.018,0.01,0.0723,0.0221,6.84,0.0194,0.0175,0.2375,0.01,0.0194,0.0112,0.01,0.8675,0.8547
14,15,0.0194,0.0014,0.018,0.01,0.0643,0.0246,6.83,0.0191,0.0174,0.2402,0.01,0.0191,0.0109,0.01,0.8656,0.862
15,16,0.0191,0.0017,0.0174,0.01,0.0668,0.0527,6.86,0.0189,0.017,0.2322,0.01,0.0189,0.0113,0.01,0.9002,0.9034
16,17,0.019,0.0015,0.0175,0.01,0.0322,0.0417,6.82,0.0189,0.0176,0.2367,0.01,0.0189,0.0112,0.01,0.8926,0.8959
17,18,0.019,0.0013,0.0177,0.01,0.0523,0.0383,6.83,0.0187,0.0171,0.2376,0.01,0.0187,0.0112,0.01,0.8414,0.8422
18,19,0.0189,0.0015,0.0174,0.01,0.0938,0.0553,6.83,0.0188,0.0169,0.2443,0.01,0.0187,0.0105,0.01,0.8239,0.8212
19,20,0.0189,0.0014,0.0175,0.01,0.0497,0.031,6.82,0.0185,0.017,0.2392,0.01,0.0185,0.011,0.01,0.8658,0.8717
